source,target,weight
21.05.02 Прикладная геология,21.03.01 Нефтегазовое дело,15
21.05.04 Горное дело,15.03.01 Машиностроение,13
35.03.06 Агроинженерия,15.03.01 Машиностроение,12
09.03.01 Информатика и вычислительная техника,09.03.04 Программная инженерия,10
21.05.03 Технология геологической разведки,21.03.01 Нефтегазовое дело,8
09.03.03 Прикладная информатика,20.03.01 Техносферная безопасность,7
15.03.01 Машиностроение,09.03.03 Прикладная информатика,6
12.03.04 Биотехнические системы и технологии,12.03.01 Приборостроение,6
11.03.04 Электроника и наноэлектроника,20.03.01 Техносферная безопасность,6
20.03.01 Техносферная безопасность,38.03.01 Экономика,6
11.03.04 Электроника и наноэлектроника,12.03.01 Приборостроение,5
13.03.01 Теплоэнергетика и теплотехника,13.03.02 Электроэнергетика и электротехника,5
19.03.01 Биотехнология,18.03.01 Химическая технология,5
21.05.04 Горное дело,20.03.01 Техносферная безопасность,5
01.03.02 Прикладная математика и информатика,09.03.01 Информатика и вычислительная техника,4
35.03.06 Агроинженерия,09.03.03 Прикладная информатика,4
01.03.02 Прикладная математика и информатика,09.03.04 Программная инженерия,4
09.03.03 Прикладная информатика,09.03.04 Программная инженерия,4
22.03.02 Металлургия,15.03.01 Машиностроение,4
12.03.01 Приборостроение,15.03.04 Автоматизация технологических процессов и производств,4
13.03.01 Теплоэнергетика и теплотехника,15.03.04 Автоматизация технологических процессов и производств,4
18.03.01 Химическая технология,19.03.01 Биотехнология,4
15.03.04 Автоматизация технологических процессов и производств,21.03.01 Нефтегазовое дело,4
15.03.01 Машиностроение,38.03.01 Экономика,4
22.03.01 Материаловедение и технологии материалов,09.03.01 Информатика и вычислительная техника,3
20.03.01 Техносферная безопасность,09.03.03 Прикладная информатика,3
22.03.02 Металлургия,09.03.03 Прикладная информатика,3
12.03.01 Приборостроение,09.03.04 Программная инженерия,3
15.03.06 Мехатроника и робототехника,09.03.04 Программная инженерия,3
11.03.04 Электроника и наноэлектроника,12.03.04 Биотехнические системы и технологии,3
"14.05.02 Атомные станции: проектирование, эксплуатация и инжиниринг",13.03.02 Электроэнергетика и электротехника,3
14.05.04 Электроника и автоматика физических установок,"14.05.02 Атомные станции: проектирование, эксплуатация и инжиниринг",3
15.03.04 Автоматизация технологических процессов и производств,15.03.01 Машиностроение,3
38.03.01 Экономика,15.03.01 Машиностроение,3
11.03.04 Электроника и наноэлектроника,15.03.04 Автоматизация технологических процессов и производств,3
18.03.01 Химическая технология,18.05.02 Химическая технология материалов современной энергетики,3
38.03.01 Экономика,20.03.01 Техносферная безопасность,3
03.03.02 Физика,01.03.02 Прикладная математика и информатика,2
14.05.04 Электроника и автоматика физических установок,01.03.02 Прикладная математика и информатика,2
12.03.04 Биотехнические системы и технологии,03.03.02 Физика,2
21.05.04 Горное дело,05.03.06 Экология и природопользование,2
09.03.04 Программная инженерия,09.03.01 Информатика и вычислительная техника,2
15.03.01 Машиностроение,09.03.01 Информатика и вычислительная техника,2
15.03.06 Мехатроника и робототехника,09.03.01 Информатика и вычислительная техника,2
21.05.04 Горное дело,09.03.03 Прикладная информатика,2
11.03.04 Электроника и наноэлектроника,09.03.04 Программная инженерия,2
13.03.01 Теплоэнергетика и теплотехника,09.03.04 Программная инженерия,2
13.03.02 Электроэнергетика и электротехника,09.03.04 Программная инженерия,2
15.03.04 Автоматизация технологических процессов и производств,09.03.04 Программная инженерия,2
